Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
Audero,P,Cremonese,B,B,B,B,B,B,C,B,C,B,B,B,,B,B,C,C,C,C
Butez,P,Como,B,B,B,B,B,B,S,C,A,B,C,B,,B,B,C,C,C,C
Caprile,P,Cagliari,B,B,B,B,B,B,A,C,A,B,B,B,,B,B,C,C,C,C
Carnesecchi,P,Atalanta,B,B,B,B,C,C,C,C,C,B,B,B,,B,B,S,B,C,B
Chichizola,P,,B,B,B,B,B,B,C,S,C,B,C,B,,B,B,C,C,C,C
Di Gregorio,P,Juventus,B,B,B,B,C,C,C,C,C,B,B,B,,B,B,S,C,C,C
Falcone,P,Lecce,B,B,B,B,B,B,C,C,C,B,B,B,,B,B,C,A,C,A
Gollini,P,Roma,B,B,B,B,B,B,C,B,C,B,B,B,,B,B,C,S,C,S
Joronen,P,,B,B,B,B,B,B,S,B,A,B,B,B,,B,B,C,C,C,C
Leali,P,Genoa,B,B,B,B,B,B,C,C,C,B,B,B,,B,B,C,A,C,A
Maignan,P,Milan,B,B,B,B,C,C,C,C,B,B,C,B,,B,B,S,B,C,B
Mandas,P,Lazio,B,B,B,B,B,B,C,B,C,B,C,B,,B,B,C,C,C,C
Martinez,P,Inter,B,B,B,B,C,C,C,A,C,B,B,B,,B,B,A,C,C,C
Meret,P,Napoli,B,B,B,B,B,B,C,C,A,B,C,B,,B,B,C,C,C,C
Milinković-Savić,P,,B,B,B,B,C,C,C,C,C,B,B,B,,B,B,A,S,C,S
Montipò,P,,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,C,C,C
Musso,P,,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Okoye,P,Udinese,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,A,C,A
Padelli,P,Udinese,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Paleari,P,Torino,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Patrício,P,,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Perilli,P,Verona,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Perin,P,Juventus,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Pizzignacco,P,,B,B,B,B,B,B,S,B,S,B,B,B,,B,B,C,C,C,C
Provedel,P,Lazio,B,B,B,B,C,C,C,C,C,B,C,B,,B,B,S,C,C,C
Radu,P,,B,B,B,B,B,B,C,C,C,B,B,B,,B,B,C,A,C,S
Ravaglia,P,Bologna,B,B,B,B,B,B,S,B,A,B,B,B,,B,B,C,C,C,C
Reina,P,,B,B,B,B,B,B,C,B,S,B,B,B,,B,B,C,S,S,C
Sava,P,Udinese,B,B,B,B,B,B,C,B,C,B,B,B,,B,B,C,S,C,S
Scuffet,P,Pisa,B,B,B,B,B,B,C,B,C,B,B,B,,B,B,C,C,C,C
Seghetti,P,,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Sherri,P,,B,B,B,B,B,B,C,B,A,B,B,B,,B,B,C,C,C,C
Siegrist,P,Genoa,B,B,B,B,B,B,C,A,S,B,B,B,,B,B,C,C,C,C
Silvestri,P,Cremonese,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Skorupski,P,Bologna,B,B,B,B,B,B,C,C,A,B,B,B,,B,B,C,A,C,A
Sommer,P,Inter,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,C,C,C
Sportiello,P,Atalanta,B,B,B,B,B,B,S,S,S,B,B,B,,B,B,C,C,C,C
Stankovic,P,,B,B,B,B,B,B,C,C,S,B,B,B,,B,B,C,A,C,S
Suzuki,P,Parma,B,B,B,B,B,B,C,C,B,B,B,B,,B,B,C,S,S,A
Svilar,P,Roma,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,B,C,B
Terracciano,P,Cremonese,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Turati,P,Sassuolo,B,B,B,B,B,B,C,C,B,B,B,B,,B,B,C,B,C,A
Vásquez,P,,B,B,B,B,B,B,C,C,C,B,B,B,,B,B,C,A,C,A
de Gea,P,,B,C,C,B,C,C,C,C,C,B,B,B,,B,B,C,B,C,B
Abankwah,D,,B,B,A,C,S,C,S,S,S,C,C,B,B,B,C,C,S,C,S
Abdulhamid,D,Roma,B,C,C,S,C,C,A,A,B,C,C,C,,B,C,C,C,C,C
Acerbi,D,Inter,B,C,B,B,B,B,C,C,C,B,C,B,B,B,B,C,C,C,C
Ahanor,D,Atalanta,B,B,A,C,B,C,A,A,A,B,S,C,B,B,A,B,C,C,C
Altare,D,,B,B,A,B,B,A,B,B,B,A,B,B,B,B,B,B,B,C,B
Angeliño,D,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,S,C,C,C
Augello,D,,B,C,C,A,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C
Augusto,D,,C,C,C,C,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C
Aurel Bisseck,D,,C,C,C,C,C,C,B,C,B,C,C,C,C,C,C,C,B,C,B
Azzi,D,Cremonese,B,B,A,C,C,C,C,A,C,C,B,C,B,B,A,S,A,C,A
Balogh,D,Parma,B,C,B,A,A,A,C,C,C,A,A,S,B,B,B,C,B,C,B
Bani,D,,B,B,A,C,B,B,C,C,C,A,S,A,B,B,S,B,C,C,C
Barba,D,,B,B,A,C,S,A,B,A,B,B,C,B,B,B,B,C,C,C,C
Bartesaghi,D,Milan,B,B,A,S,C,B,S,S,S,C,S,C,,B,C,B,S,S,C
Baschirotto,D,Cremonese,C,B,B,B,A,A,C,C,C,A,A,A,C,C,C,B,C,C,C
Bastoni,D,Inter,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,B,A,B
Bellanova,D,Atalanta,B,C,C,C,C,C,C,C,C,C,C,C,B,B,S,C,C,C,C
Beukema,D,Napoli,B,C,B,C,B,B,C,C,C,B,C,A,B,B,S,C,C,C,C
Bijol,D,,C,B,B,C,B,B,C,C,C,B,B,A,C,C,S,A,A,A,A
Biraghi,D,Torino,C,B,B,C,C,C,C,C,C,C,B,C,C,C,C,S,C,C,C
Birindelli,D,,C,B,C,C,C,C,C,C,C,C,A,C,C,C,C,S,C,C,C
Bjarkason,D,,B,B,A,S,C,B,S,S,S,C,C,C,,B,C,B,S,C,S
Bonifazi,D,,B,B,A,S,S,S,S,S,S,S,S,B,,B,C,C,C,C,C
Bradarić,D,,C,B,B,B,C,C,C,C,C,C,A,C,C,C,C,S,B,C,B
Bremer,D,Juventus,B,B,A,A,S,S,C,B,C,A,C,S,B,B,C,C,A,C,A
Brorsson,D,,B,B,A,S,S,S,A,A,B,S,A,A,,B,C,C,C,C,C
Buchanan,D,,B,B,A,S,C,C,S,S,S,C,A,C,,B,C,B,C,C,C
Buongiorno,D,Napoli,C,B,B,B,B,B,C,C,C,C,C,B,C,C,C,A,C,C,C
Calabria,D,,B,C,C,B,C,C,B,B,B,C,C,C,B,B,B,A,B,C,B
Caldirola,D,,B,B,A,B,B,A,B,B,B,A,A,B,B,B,B,B,S,C,S
Cambiaso,D,Juventus,C,C,C,B,C,C,B,C,B,C,C,C,C,C,C,C,C,C,C
Candela,D,,B,C,C,B,C,C,C,B,C,B,B,C,B,B,B,C,C,C,C
Candé,D,,C,C,C,C,B,C,C,C,C,A,B,A,C,C,B,C,B,C,B
Carboni,D,Genoa,B,C,B,A,B,A,C,C,C,A,A,B,B,B,B,C,B,C,B
Carboni,D,Genoa,B,B,A,S,C,A,A,A,S,B,B,C,,B,C,B,S,C,S
Casale,D,Bologna,B,C,C,C,C,B,B,B,B,S,B,A,B,B,A,C,C,C,C
Circati,D,Parma,B,B,A,C,S,B,C,B,C,S,A,S,B,B,B,C,C,C,C
Coco,D,Torino,C,B,C,B,S,A,C,C,C,A,A,A,C,C,C,C,A,C,A
Comuzzo,D,Fiorentina,C,B,B,B,B,A,B,C,B,B,C,B,C,C,C,A,B,C,B
Coppola,D,Pisa,C,B,C,B,A,A,C,C,C,S,S,A,C,C,C,B,A,C,A
Coulibaly,D,Lecce,B,C,C,A,C,B,C,B,C,C,C,C,B,B,C,C,C,S,C
Cuadrado,D,Pisa,B,C,C,C,C,C,A,B,A,C,C,C,B,B,S,C,A,C,A
D'Ambrosio,D,,B,C,C,C,B,B,B,B,B,B,B,B,B,B,A,C,B,S,C
Dahl,D,,B,B,A,S,S,S,S,S,S,C,C,C,,B,C,C,C,C,C
Daniliuc,D,,B,B,A,A,B,A,A,B,B,B,C,B,B,B,C,B,C,C,C
Danilo,D,,B,C,C,A,C,B,A,B,A,C,C,B,B,B,C,C,A,C,A
Darmian,D,Inter,C,C,C,C,C,C,B,C,B,B,A,C,C,C,C,C,C,C,C
David Cabal,D,,B,B,A,B,S,A,C,B,B,C,C,C,B,B,C,C,C,C,C
Dawidowicz,D,,B,B,A,A,S,S,C,C,C,A,A,A,B,B,B,C,A,S,A
De Sciglio,D,,C,B,C,C,B,C,A,B,A,A,A,B,C,C,C,B,C,C,C
De Silvestri,D,Bologna,C,B,C,C,B,C,B,B,B,A,C,C,C,C,C,A,C,C,C
De Winter,D,Milan,C,B,C,C,A,C,C,C,C,A,B,B,C,C,C,B,B,C,B
Del Prato,D,,C,B,C,C,C,C,C,C,C,S,B,B,C,C,C,S,B,C,B
Dembélé,D,,C,B,C,C,B,C,A,A,S,C,B,C,C,C,C,B,S,S,S
Di Lorenzo,D,Napoli,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,S,C,C,C
Dimarco,D,Inter,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C
Djimsiti,D,Atalanta,C,C,C,C,C,C,C,C,C,C,C,B,C,C,S,C,B,C,B
Dodô,D,,B,C,C,C,C,C,C,C,C,C,C,C,B,B,S,C,B,C,B
Dorgu,D,,C,C,C,C,C,C,C,C,C,C,B,C,C,C,B,A,C,S,C
Dossena,D,Como,B,C,C,B,B,B,C,C,C,S,A,S,B,B,A,C,C,S,C
Dumfries,D,Inter,C,C,C,C,C,C,B,C,B,C,B,C,C,C,C,S,C,C,B
Ebosse,D,Verona,B,B,A,S,S,S,S,S,A,S,C,S,,B,C,C,S,C,S
Ebuehi,D,,B,B,A,S,S,S,S,S,S,C,C,C,,B,C,C,C,C,C
Ehizibue,D,Udinese,B,C,B,C,C,C,C,C,C,C,A,C,B,B,S,S,C,C,C
El Shaarawy,D,Roma,C,C,C,C,C,C,A,B,A,C,C,C,C,C,C,C,C,C,C
Ellertsson,D,Genoa,C,C,C,C,C,C,C,C,C,C,S,C,C,C,C,C,C,C,C
Emerson,D,,B,B,A,B,C,B,C,C,C,C,C,C,B,B,B,A,A,C,A
Erlic,D,Bologna,B,B,A,C,S,B,B,A,A,C,B,A,B,B,B,C,C,C,C
Faraoni,D,,B,B,A,C,B,C,A,A,S,B,S,C,B,B,B,B,A,C,A
Frese,D,Verona,B,B,A,A,B,B,A,A,A,C,C,C,B,B,C,B,C,C,C
Gabbia,D,Milan,C,B,C,C,A,B,C,C,C,B,C,S,C,C,C,B,C,C,C
